"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         165,      -3.542439321,       -0.91086912,      -1.439614431,       1.763503059
          0,           0,         166,      -3.587234582,     -0.9824741399,      -1.457035388,       1.714006058
          0,           0,         167,      -3.635091836,      -1.056265128,      -1.458503036,        1.66945882
          0,           0,         168,      -3.660980309,       -1.06200806,      -1.462000942,       1.666385036
          0,           0,         169,      -3.666862369,      -1.026169893,      -1.482320377,       1.686833711
          0,           0,         170,      -3.675363511,      -1.018102641,      -1.518213357,       1.690162251
          0,           0,         171,      -3.696562597,      -1.060410661,      -1.551857772,       1.660603325
          0,           0,         172,      -3.717159402,      -1.135688703,      -1.563151681,       1.610024363
          0,           0,         173,      -3.715161035,      -1.173234956,      -1.555692122,       1.575815659
          0,           0,         174,      -3.692140029,      -1.130498548,      -1.550195544,       1.583504228
          0,           0,         175,      -3.672162664,      -1.078738567,      -1.559365142,       1.605471044
          0,           0,         176,      -3.672975091,      -1.068060589,      -1.580097543,       1.607395863
          0,           0,         177,      -3.697315185,      -1.104444205,      -1.599507088,       1.580676362
          0,           0,         178,      -3.735326972,      -1.169256739,      -1.608739682,       1.540021331
          0,           0,         179,      -3.769502786,       -1.21648046,      -1.613699135,       1.514684996
          0,           0,         180,      -3.788926854,      -1.215944339,      -1.626953386,       1.516192098
          0,           0,         181,      -3.800154932,      -1.204525943,      -1.653826989,       1.521746923
          0,           0,         182,      -3.814319097,      -1.222596322,      -1.686675943,       1.507804252
          0,           0,         183,      -3.830621043,      -1.274871433,      -1.708653202,       1.471357983
          0,           0,         184,      -3.836742192,       -1.32442668,      -1.710908256,       1.431953367
          0,           0,         185,      -3.825694802,      -1.314820673,      -1.703445771,       1.418540186
          0,           0,         186,      -3.808132134,      -1.265624504,      -1.701682278,       1.431801714
          0,           0,         187,      -3.800001777,      -1.233851031,      -1.710913954,       1.443702292
          0,           0,         188,      -3.809213073,      -1.241097966,      -1.725283957,       1.435240234
          0,           0,         189,      -3.833549665,      -1.282533124,      -1.736557946,       1.407911202
          0,           0,         190,      -3.863203981,      -1.333755867,      -1.743814256,       1.378967951
          0,           0,         191,      -3.887462161,      -1.361594021,      -1.754019798,       1.366122346
          0,           0,         192,      -3.903695202,      -1.364382116,       -1.77355629,       1.365637023
          0,           0,         193,      -3.917106174,      -1.372629862,      -1.801137318,       1.358642931
          0,           0,         194,       -3.93082871,      -1.404667391,       -1.82673859,       1.334273968
          0,           0,         195,       -3.94037491,      -1.447745527,      -1.839188546,       1.299108651
          0,           0,         196,       -3.93931105,      -1.461904647,      -1.838485227,       1.274196577
          0,           0,         197,      -3.929436396,       -1.43249311,      -1.834985488,       1.273550975
          0,           0,         198,      -3.920696986,      -1.396521617,      -1.837082651,       1.284516675
          0,           0,         199,      -3.922005705,      -1.385160911,      -1.845290108,       1.286492619
          0,           0,         200,      -3.935672922,      -1.404607492,      -1.855106146,       1.271944694
